publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
Angiology	0003-3197	1940-1574	1950	1					http://journals.sagepub.com/home/ang		29491		Volltext		Sage Publications ; HighWire Press ; Westminster Publications	sage_premier	0003-3197;1940-1574	2065911-8
Animation	1746-8477	1746-8485	2006	1					http://journals.sagepub.com/home/anm		80955		Volltext		Sage Publications	sage_premier	1746-8477;1746-8485	2243969-9
Annals of Pharmacotherapy, The	0012-6578	1542-6270	1999	33					http://journals.sagepub.com/home/aop		14648		Volltext		Sage Publications	sage_premier	0012-6578;0375-8834;1042-9611;1044-6192;1060-0280;1542-6270	2053518-1
Annals of the American Academy of Political and Social Science, The	0002-7162	1552-3349	1890	1					http://journals.sagepub.com/home/ann		31599		Volltext		Sage Publications; JSTOR	sage_premier	0002-7162;1552-3349	2097792-X
Annals of the ICRP (International Commission on Radiological Protection)	0146-6453	1872-969X	1999	29					http://journals.sagepub.com/home/ani		3120		Volltext		Sage Publications ; International Commission on Radiological Protection (formerly Elsevier)	sage_premier	0146-6453;1872-969X	2013990-1
Anthropocene Review, The	2053-0196	2053-020X	2014	1					http://journals.sagepub.com/home/anr		203371		Volltext		Sage Publications	sage_premier	2053-0196;2053-020X	2750214-4
Anthropological Theory	1463-4996	1741-2641	2001	1					http://journals.sagepub.com/home/ant		15899		Volltext		Sage Publications	sage_premier	1463-4996;1741-2641	2063952-1
Applied Psychological Measurement	0146-6216	1552-3497	1977	1					http://journals.sagepub.com/home/apm		6361		Volltext		Sage Publications	sage_premier	0146-6216;1552-3497	2002941-X
Armed Forces and Society	0095-327X	1556-0848	1974	1					http://journals.sagepub.com/home/afs		5492		Volltext		Sage Publications	sage_premier	0095-327X;1556-0848	2020822-4
Arts and Humanities in Higher Education	1474-0222	1741-265X	2002	1					http://journals.sagepub.com/home/ahh		25380		Volltext		Sage Publications	sage_premier	1474-0222;1741-265X	2084027-5
Asia Pacific Journal of Human Resources	0156-904X	1744-7941	1966	1		2011	49		http://journals.sagepub.com/home/apj		171912		Volltext		Wiley-Blackwell - SSH ; Australian Human Resources Institute ; formerly Sage Publications	sage_premier	0156-904X;1032-3627;1038-4111;1744-7941	2089267-6
Asia Pacific Media Educator (2012-)	1326-365X	2321-5410	2012	22					http://journals.sagepub.com/home/ame		197141		Volltext		Sage Publications	sage_premier	1326-365X;2321-5410	2390058-1
Asia-Pacific Journal of Management Research and Innovation 	2319-510X	2321-0729	2005	1					http://journals.sagepub.com/home/abr		192693		Volltext		Sage Publications	sage_premier	2319-510X;2321-0729	2694545-9
Asia-Pacific Journal of Public Health	1010-5395	1941-2479	1987	1					http://journals.sagepub.com/home/aph		96498		Volltext		Sage Publications	sage_premier	1010-5395;1941-2479	2394975-2
Asian Cardiovascular and Thoracic Annals	0218-4923	1816-5370	1993	1	3				http://journals.sagepub.com/home/aan		10052		Volltext		Sage Publishing ; Asia Publishing EXchange Pte Ltd. ; HighWire Press	sage_premier	0218-4923;1816-5370	2044527-1
Asian Journal of Comparative Politics	2057-8911	2057-892X	2016	1					http://journals.sagepub.com/home/acp		242911		Volltext		Sage Publishing	sage_premier	2057-8911;2057-892X	2851658-8
Asian Journal of Legal Education	2322-0058	2348-2451	2014	1					http://journals.sagepub.com/home/ale		227528		Volltext		Sage Publishing	sage_premier	2322-0058;2348-2451	2805731-4
Asian Journal of Management Cases	0972-8201	0973-0621	2004	1					http://journals.sagepub.com/home/ajc		60929		Volltext		Sage Publications	sage_premier	0972-8201;0973-0621	2211863-9
Assessment	1073-1911	1552-3489	1994	1					http://journals.sagepub.com/home/asm		25280		Volltext		Sage Publications	sage_premier	1073-1911;1552-3489	2083220-5
Assessment for Effective Intervention (formerly Diagnostique)	0737-2477	1938-7458	1979	5					http://journals.sagepub.com/home/aei		90955		Volltext		Sage Publications ; formerly: Pro-ed	sage_premier	0737-2477;1534-5084;1938-7458	2296039-9
Australasian Psychiatry	1039-8562	1440-1665	1993	1					http://journals.sagepub.com/home/apy		5414		Volltext		Sage Publications ; formerly Informa Healthcare ; Blackwell Publishing	sage_premier	1039-8562;1440-1665	2003737-5
Australian and New Zealand Journal of Criminology, The	0004-8658	1837-9273	1968	1					http://journals.sagepub.com/home/anj		31421		Volltext		Sage Publications	sage_premier	0004-8658;1837-9273	2089449-1
Australian and New Zealand Journal of Psychiatry	0004-8674	1440-1614	1967	1					http://journals.sagepub.com/home/anp		5415		Volltext		Sage Publications ; formerly Informa Healthcare ; Blackwell	sage_premier	0004-8674;1440-1614	2003849-5
Australian Journal of Career Development	1038-4162	2200-6974	1992	1					http://journals.sagepub.com/home/acd		104706		Volltext		Sage Publications ; Australian Council for Educational Research	sage_premier	1038-4162;2200-6974	2420053-0
Australian Journal of Education	0004-9441	2050-5884	1957	1					http://journals.sagepub.com/home/aed		104707		Volltext		Sage Publications ; Australian Council for Educational Research	sage_premier	0004-9441;2050-5884	2420054-2
Australian Journal of Management	0312-8962	1327-2020	1976	1					http://journals.sagepub.com/home/aum		1632		Volltext		Australian Graduate School of Management ; Sage Publications	sage_premier	0312-8962;1327-2020	2011797-8
Autism	1362-3613	1461-7005	1997	1					http://journals.sagepub.com/home/aut		9252		Volltext		Sage Publications	sage_premier	1362-3613;1461-7005	2034686-4
Behavior Modification	0145-4455	1552-4167	1977	1					http://journals.sagepub.com/home/bmo		5572		Volltext		Sage Publications	sage_premier	0145-4455;1552-4167	2021480-7
Bible Translator, The (1950-)	0260-0935	2051-6789	1999	50					http://journals.sagepub.com/home/tbt		197134		Volltext		Sage Publications ; United Bible Societies	sage_premier	0260-0935;2051-6770;2051-6789	2711965-8
Biblical Theology Bulletin	0146-1079	1945-7596	1973	3					http://journals.sagepub.com/home/btb		111784		Volltext		Sage Publications	sage_premier	0146-1079;1945-7596	2472833-0
Biological Research For Nursing	1099-8004	1552-4175	1999	1					http://journals.sagepub.com/home/brn		33244		Volltext		Sage Publications	sage_premier	1099-8004;1552-4175	2070503-7
BioScope : South Asian Screen Studies	0974-9276	0976-352X	2010	1					http://journals.sagepub.com/home/bio		134326		Volltext		Sage Publications	sage_premier	0974-9276;0976-352X	2550256-6
BMS : Bulletin of Sociological Methodology = Bulletin de Méthodologie Sociologique	0759-1063	2070-2779	1983		1				http://journals.sagepub.com/home/bms		129880		Volltext		Sage Publications ; JSTOR	sage_premier	0759-1063;2070-2779	2508137-8
Body and Society	1357-034X	1460-3632	1995	1					http://journals.sagepub.com/home/bod		5575		Volltext		Sage Publications	sage_premier	1357-034X;1460-3632	2021487-X
British Journal of Pain (formerly: Reviews in Pain)	2042-1249	2049-4645	2007	1					http://journals.sagepub.com/home/bjp		185334		Volltext		Sage Publications ; Highwire	sage_premier	2042-1249;2049-4637;2049-4645	2670872-3
British Journal of Visual Impairment	0264-6196	1744-5809	1983	1					http://journals.sagepub.com/home/jvi		51558		Volltext		Sage Publications	sage_premier	0264-6196;1744-5809	2170842-3
British Journalism Review	0956-4748	1741-2668	1989	1					http://journals.sagepub.com/home/bjr		37702		Volltext		Sage Publications	sage_premier	0956-4748;1741-2668	2119126-8
Building Services Engineering Research and Technology (CIBS Series / A)	0143-6244	1477-0849	1980	1					http://journals.sagepub.com/home/bse		14994		Volltext		Sage Publications	sage_premier	0143-6244;1477-0849	2053866-2
Bulletin of Science, Technology and Society	0270-4676	1552-4183	1981	1					http://journals.sagepub.com/home/bst		7079		Volltext		Sage Publications	sage_premier	0270-4676;1552-4183	2008113-3
Bulletin of the Atomic Scientists 	0096-3402	1938-3282	1999	55		2015	71		http://journals.sagepub.com/home/bos		114721		Volltext		Routledge, Taylor & Francis Group ; formerly Sage Publications	sage_premier	0096-3402;1938-3282	2046884-2
Business and Professional Communication Quarterly 	1080-5699	1552-4191	1969	32					http://journals.sagepub.com/home/bcq		42262		Volltext		Sage Publications	sage_premier	1080-5699;2329-4906;8756-1972;1552-4191;2329-4922	2823636-1
Business and Society	0007-6503	1552-4205	1960	1					http://journals.sagepub.com/home/bas		7519		Volltext		Sage Publications	sage_premier	0007-6503;1552-4205	2011154-X
Business Information Review	0266-3821	1741-6450	1984	1					http://journals.sagepub.com/home/bir		37703		Volltext		Sage Publications	sage_premier	0266-3821;1741-6450	2067938-5
Canadian Journal of Occupational Therapy (CJOT)	0008-4174	1911-9828	1933	1					http://journals.sagepub.com/home/cjo		90972		Volltext		Sage Publications ; formerly Canadian Association of Occupational Therapy	sage_premier	0008-4174;1911-9828	2296096-X
Canadian Journal of School Psychology (CJSP)	0829-5735	2154-3984	1987	3					http://journals.sagepub.com/home/cjs		85239		Volltext		Sage Publications ; HighWire Press ; Canadian Association of School Psychologists	sage_premier	0829-5735;2154-3984	2262849-6
Canadian Pharmacists Journal 	1715-1635	1913-701X	2004	137					http://journals.sagepub.com/home/cph		150685		Volltext		Sage ; Canadian Pharmacists Association	sage_premier	1715-1635;1913-701X	2588715-4
Capital and Class	0309-8168	2041-0980	1977	1					http://journals.sagepub.com/home/cnc		40464		Volltext		Conference of Socialist Economists ; Sage Publications	sage_premier	0309-8168;2041-0980	2068286-4
Cardiac Cath Lab Director (CCLD)	2150-1335	2150-1343	2011	1	1	2011	1	6	http://journals.sagepub.com/home/ccl		169254		Volltext		Sage Publications	sage_premier	2150-1335;2150-1343	2629067-4
Career Development and Transition for Exceptional Individuals	0885-7288	1557-5047	1978	1					http://journals.sagepub.com/home/cde		81371		Volltext		Sage Publications	sage_premier	0885-7288;2165-1434;1557-5047;2165-1442	2742988-X
Cartilage	1947-6035	1947-6043	2009	1					http://journals.sagepub.com/home/car		124650		Volltext		Sage Publications	sage_premier	1947-6035;1947-6043	2515870-3
Cephalalgia	0333-1024	1468-2982	1981	1					http://journals.sagepub.com/home/cep		8227		Volltext		Sage Publications ; formerly Wiley-Blackwell	sage_premier	0333-1024;1468-2982	2019999-5
Child Language Teaching and Therapy	0265-6590	1477-0865	1985	1					http://journals.sagepub.com/home/clt		4804		Volltext		Sage Publications ; HighWire Press ; Hodder Arnold	sage_premier	0265-6590;1477-0865	2019803-6
Child Maltreatment	1077-5595	1552-6119	1996	1					http://journals.sagepub.com/home/cmx		5656		Volltext		Sage Publications	sage_premier	1077-5595;1552-6119	2018206-5
Childhood	0907-5682	1461-7013	1993	1					http://journals.sagepub.com/home/chd		4915		Volltext		Sage Publications	sage_premier	0907-5682;1461-7013	1483566-6
China Information: A Journal on Contemporary China Studies	0920-203X	1741-590X	1986	1					http://journals.sagepub.com/home/cin		42225		Volltext		Sage Publications	sage_premier	0920-203X;1741-590X	2144933-8
China Report	0009-4455	0973-063X	1965	1	2				http://journals.sagepub.com/home/chr		54246		Volltext		Sage Publications	sage_premier	0009-4455;0973-063X	2189087-0
Chinese Journal of Sociology (CJS)	2057-150X	2057-1518	2015	1					http://journals.sagepub.com/home/chs		235634		Volltext		Sage Publishing	sage_premier	2057-150X;2057-1518	2829255-8
Chronic Illness	1742-3953	1745-9206	2005	1					http://journals.sagepub.com/home/chi		53534		Volltext		Sage Publications	sage_premier	1742-3953;1745-9206	2183572-X
Clin-Alert	0069-4770	1530-812X	1963	1					http://journals.sagepub.com/home/cla		60930		Volltext		Sage Publications	sage_premier	0069-4770;1530-812X	2211869-X
Clinical and Applied Thrombosis/Hemostasis (1995-)	1076-0296	1938-2723	1995	1					http://journals.sagepub.com/home/cat		65589		Volltext		Sage Publications	sage_premier	1076-0296;1938-2723	2230591-9
Clinical Case Studies	1534-6501	1552-3802	2002	1					http://journals.sagepub.com/home/ccs		20132		Volltext		Sage Publications	sage_premier	1534-6501;1552-3802	2078528-8
Clinical Child Psychology and Psychiatry	1359-1045	1461-7021	1996	1					http://journals.sagepub.com/home/ccp		5738		Volltext		Sage Publications	sage_premier	1359-1045;1461-7021	2004602-9
Clinical EEG and Neuroscience (formerly: Clinical Electroencephalography) 	0009-9155	2169-5202	1970	1					http://journals.sagepub.com/home/eeg		179924		Volltext		Sage Publications	sage_premier	0009-9155;1550-0594;2169-5202	2647038-X
Clinical Nursing Research	1054-7738	1552-3799	1992	1					http://journals.sagepub.com/home/cnr		9254		Volltext		Sage Publications	sage_premier	1054-7738;1552-3799	2034682-7
Clinical Pediatrics	0009-9228	1938-2707	1962	1					http://journals.sagepub.com/home/cpj		65585		Volltext		Sage Publications	sage_premier	0009-9228;1938-2707	2066146-0
Clinical Pharmacology in Drug Development	2160-763X	2160-7648	2012	1	1	2012	1	4	http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%292160-7648/issues		177186		Volltext		Wiley-Blackwell - STM	sage_premier	2160-763X;2160-7648	2649010-9
Clinical Psychological Science	2167-7026	2167-7034	2013	1					http://journals.sagepub.com/home/cpx		188220		Volltext		Sage Publications	sage_premier	2167-7026;2167-7034	2682220-9
Clinical Rehabilitation	0269-2155	1477-0873	1987	1					http://journals.sagepub.com/home/cre		6880		Volltext		Sage Publications	sage_premier	0269-2155;1477-0873	2028323-4
Clinical Trials	1740-7745	1740-7753	2004	1					http://journals.sagepub.com/home/ctj		46906		Volltext		Sage Publications (früher: Hodder Arnold) ; HighWire Press	sage_premier	1740-7745;1740-7753	2159773-X
Clothing and Textiles Research Journal	0887-302X	1940-2473	1982	1					http://journals.sagepub.com/home/ctr		84435		Volltext		Sage Publications ; HighWire Press ; International Textile and Apparel Association	sage_premier	0887-302X;1940-2473	2257599-6
Communication and Sport	2167-4795	2167-4809	2013	1					http://journals.sagepub.com/home/com		193553		Volltext		Sage Publications	sage_premier	2167-4795;2167-4809	2695589-1
Communication and the Public (CAP)	2057-0473	2057-0481	2016	1					http://journals.sagepub.com/home/ctp		242908		Volltext		Sage Publishing	sage_premier	2057-0473;2057-0481	2851632-1
Communication Disorders Quarterly	1525-7401	1538-4837	1976	1					http://journals.sagepub.com/home/cdq		24912		Volltext		Sage Publications	sage_premier	1525-7401;1538-4837	2081774-5
Communication Research	0093-6502	1552-3810	1974	1					http://journals.sagepub.com/home/crx		5746		Volltext		Sage Publications	sage_premier	0093-6502;1552-3810	2016421-X
Community College Review	0091-5521	1940-2325	1973	1					http://journals.sagepub.com/home/crw		67493		Volltext		Sage Publications	sage_premier	0091-5521;1940-2325	2067350-4
Comparative Political Studies	0010-4140	1552-3829	1968	1					http://journals.sagepub.com/home/cps		3017		Volltext		Sage Publications	sage_premier	0010-4140;1552-3829	1494061-9
Compensation and Benefits Review	0886-3687	1552-3837	1969	1					http://journals.sagepub.com/home/cbr		33246		Volltext		Sage Publications	sage_premier	0886-3687;1552-3837	2068763-1
Concurrent Engineering	1063-293X	1531-2003	1993	1					http://journals.sagepub.com/home/cer		33248		Volltext		Sage Publications	sage_premier	1063-293X;1531-2003	2101005-5
Conflict Management and Peace Science	0094-3738	1549-9219	1973	1					http://journals.sagepub.com/home/cmp		42328		Volltext		Sage Publications ; Peace Science Society (International) ; JSTOR	sage_premier	0094-3738;0738-8942;1549-9219;2577-9141	2145757-8
Contemporary Education Dialogue	0973-1849	2249-5320	2003	1					http://journals.sagepub.com/home/ced		172157		Volltext		Sage Publications	sage_premier	0973-1849;2249-5320	2646223-0
Contemporary Review of the Middle East	2347-7989	2349-0055	2014	1					http://journals.sagepub.com/home/cme		215792		Volltext		Sage Publications	sage_premier	2347-7989;2349-0055	2769794-0
Contemporary Sociology (2004-)	0094-3061	1939-8638	2004	33					http://journals.sagepub.com/home/csx		40467		Volltext		Sage Publications ; American Sociological Association	sage_premier	0094-3061;1939-8638	2010085-1
Contexts	1536-5042	1537-6052	2002	1					http://journals.sagepub.com/home/ctx		34185		Volltext		Sage Publications ; JSTOR	sage_premier	1536-5042;1537-6052	2121308-2
