"Lizenzliste: Emerald Archive EFAD NL [EZB-NALIC-00472]"			 			 			 			 			 	
"Datum: 15.05.2019 um 14:45 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
211650	"Academia: Revista Latinoamericana de Administración (2013-)"	"Emerald"	"Politologie"	""	""	"2401123-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=211650"	"https://www.emeraldinsight.com/loi/arla"	2013	26		2016	29			"Verwaltungswesen"
220927	"Academic and Library Computing "	"Emerald"	"Informatik;Informations-, Buch- und Bibliothekswesen, Schrift- und Handschriftenkunde"	""	""	"2796879-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=220927"	"https://www.emeraldinsight.com/journal/alc"	1991	8	4	1992	9			"Netzwerke"
110205	"Accounting Research Journal"	"Emerald"	"Wirtschaftswissenschaften"	""	""	"2457099-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=110205"	"https://www.emeraldinsight.com/loi/arj"	2005	18		2016	29			"Rechnungswesen"
556	"Accounting, Auditing & Accountability Journal"	"Emerald (ehemals: MCB University Press)"	"Wirtschaftswissenschaften"	"0951-3574;1368-0668"	"0951-3574"	"2018956-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=556"	"https://www.emeraldinsight.com/loi/aaaj"	1988	1		2016	29			"Rechnungswesen"
120421	"Advances in Dual Diagnosis "	"Pier Professional (formerly: Pavilion Publishing) ; Emerald"	"Psychologie"	""	""	"2500023-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=120421"	"https://www.emeraldinsight.com/journal/add"	2008	1		2016	9			"Allgemeine Psychologie"
184566	"Advances in Mental Health and Intellectual Disabilities"	"Pier Professional (formerly: Pavilion Publishing) ; Emerald Group"	"Medizin"	""	""	"2625773-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=184566"	"https://www.emeraldinsight.com/journal/amhid"	2010	4		2016	10			"Psychiatrie"
134457	"African Journal of Economic and Management Studies"	"Emerald"	"Wirtschaftswissenschaften"	"2040-0713"	"2040-0705"	"2551402-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=134457"	"https://www.emeraldinsight.com/loi/ajems"	2010	1		2016	7			"Unternehmensführung"
101518	"Agricultural Finance Review"	"Emerald ; Cornell University"	"Land- und Forstwirtschaft. Gartenbau. Fischereiwirtschaft. Hauswirtschaft. Ernährung;Wirtschaftswissenschaften"	"2041-6326"	"0002-1466"	"2401135-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=101518"	"https://www.emeraldinsight.com/loi/afr"	2000	60		2016	76			"Agrarökonomie"
1549	"Aircraft Engineering and Aerospace Technology"	"Emerald (ehemals: MCB University Press)"	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"1758-4213"	"0002-2667;1748-8842"	"2014643-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=1549"	"https://www.emeraldinsight.com/loi/aeat"	1929	1		2016	88			"Luftfahrttechnik"
160144	"American Journal of Business"	"Emerald"	"Wirtschaftswissenschaften"	"1935-5181"	"0895-1772;1935-519X"	"2401319-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=160144"	"https://www.emeraldinsight.com/loi/ajb"	1986	1		2016	31			"Allgemeine Betriebswirtschaftslehre"
15798	"American Journal of Police"	"Emerald (ehemals: MCB University Press)"	"Rechtswissenschaft"	"2160-0309"	"0735-8547"	"2062646-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=15798"	"https://www.emeraldinsight.com/journal/ajp"	1995	14		1996	15			"Kriminologie"
228096	"Annals in Social Responsibility"	"Emerald"	"Soziologie"	""	""	"2829373-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALIC&jour_id=228096"	"https://www.emeraldinsight.com/loi/asr"	2015	1		2016	2			"Soziale Verantwortung"
